"v","i","ton","toff","cd","mrr","","","","","","",""
"30","5","10","4","14.035486160397","22.61952","","","","","","",""
"30","10","30","8","57.098245614035","62.402096842105","","","","","","",""
"30","20","50","8","93.024945507387","88.450123034483","","","","","","",""
"30","30","70","4","117.2893501359","101.78784","","","","","","",""
"30","5","30","8","28.230852211435","18.551974736842","","","","","","",""
"30","10","50","8","71.207078711041","55.807815724138","","","","","","",""
"30","20","70","4","107.03413400759","86.43888","","","","","","",""
"30","30","10","4","47.32181425486","175.30128","","","","","","",""
"30","5","50","8","36.035908339239","16.847642482759","","","","","","",""
"30","10","70","4","81.676646706587","51.70176","","","","","","",""
"30","20","10","4","43.052234109503","141.372","","","","","","",""
"30","30","30","8","80.933660933661","116.37147789474","","","","","","",""
"80","5","70","4","51.605462822458","23.42736","","","","","","",""
"80","10","10","4","36.975594686438","118.75248","","","","","","",""
"80","20","30","8","80.933660933661","116.37147789474","","","","","","",""
"80","30","50","8","108.8178","121.09243034483","","","","","","",""
"80","5","10","4","18.792296233241","45.23904","","","","","","",""
"80","10","30","8","64.1353950594","72.521355789474","","","","","","",""
"80","20","50","8","101.6835850458","102.13883255172","","","","","","",""
"80","30","70","4","127.40920096852","119.56032","","","","","","",""
"80","5","30","8","36.067026194145","28.671233684211","","","","","","",""
"80","10","50","8","80.155246252677","67.390569931034","","","","","","",""
"80","20","70","4","117.2893501359","101.78784","","","","","","",""
"80","30","10","4","51.035411337014","203.57568","","","","","","",""
"120","5","50","8","52.469942498693","32.642307310345","","","","","","",""
"120","10","70","4","98.14368","76.7448","","","","","","",""
"120","20","10","4","49.893337339443","203.57568","","","","","","",""
"120","30","30","8","93.146005509642","148.41579789474","","","","","","",""
"120","5","70","4","54.718309859155","25.85088","","","","","","",""
"120","10","10","4","39.784024400297","141.372","","","","","","",""
"120","20","30","8","86.517461878997","129.86382315789","","","","","","",""
"120","30","50","8","117.04924704925","135.83411751724","","","","","","",""
"120","5","10","4","22.805693950178","50.89392","","","","","","",""
"120","10","30","8","66.088807785888","80.954071578947","","","","","","",""
"120","20","50","8","108.40324495449","115.82754206897","","","","","","",""
"120","30","70","4","135.22611788618","132.48576","","","","","","",""
